Membrane potentials for each step (in ms) [0,10000]
P1(34.8)=15.1 P2(34.8)=12 P115(34.8)=11.1 P116(34.8)=6.1
P1(34.9)=15.1 P2(34.9)=12.1 P115(34.9)=11.1 P116(34.9)=7.1
P1(35)=16.1 P2(35)=12.1 P115(35)=13.1 P116(35)=7.1
P1(35.1)=16.1 P2(35.1)=12.1 P115(35.1)=14.1 P116(35.1)=7.1
P1(35.2)=16.1 P2(35.2)=12.1 P115(35.2)=14.1 P116(35.2)=7.1
P1(35.3)=16.1 P2(35.3)=12.1 P115(35.3)=14.1 P116(35.3)=7.1
P1(35.4)=16.1 P2(35.4)=12.1 P115(35.4)=14.1 P116(35.4)=8.1
P1(35.5)=16.1 P2(35.5)=12.1 P115(35.5)=15.1 P116(35.5)=10.1
P1(35.6)=17.1 P2(35.6)=12.1 P115(35.6)=15.1 P116(35.6)=10.1
P1(35.7)=17.1 P2(35.7)=13.1 P115(35.7)=17.1 P116(35.7)=10.2
P1(35.8)=17.1 P2(35.8)=13.1 P115(35.8)=17.1 P116(35.8)=10.2
P1(35.9)=17.1 P2(35.9)=13.2 P115(35.9)=17.1 P116(35.9)=10.2
P1(36)=17.1 P2(36)=14.2 P115(36)=17.1 P116(36)=10.2
P1(36.1)=17.1 P2(36.1)=14.2 P115(36.1)=17.1 P116(36.1)=10.2
P1(36.2)=17.1 P2(36.2)=14.2 P115(36.2)=17.1 P116(36.2)=10.2
P1(36.3)=18.1 P2(36.3)=14.2 P115(36.3)=17.1 P116(36.3)=10.2
P1(36.4)=18.1 P2(36.4)=14.2 P115(36.4)=19.2 P116(36.4)=10.2
P1(36.5)=18.1 P2(36.5)=15.2 P115(36.5)=19.2 P116(36.5)=10.2
P1(36.6)=19.1 P2(36.6)=15.2 P115(36.6)=19.2 P116(36.6)=10.2
P1(36.7)=19.1 P2(36.7)=16.2 P115(36.7)=19.2 P116(36.7)=10.3
P1(36.8)=19.1 P2(36.8)=16.2 P115(36.8)=19.2 P116(36.8)=10.3
P1(36.9)=19.2 P2(36.9)=16.2 P115(36.9)=19.2 P116(36.9)=10.4
P1(37)=19.3 P2(37)=16.2 P115(37)=19.2 P116(37)=9.9
P1(37.1)=18.8 P2(37.1)=16.2 P115(37.1)=18.7 P116(37.1)=9.9
P1(37.2)=19 P2(37.2)=16.2 P115(37.2)=18.8 P116(37.2)=9.9
P1(37.3)=19 P2(37.3)=16.2 P115(37.3)=19 P116(37.3)=10
P1(37.4)=20.1 P2(37.4)=16.2 P115(37.4)=19.2 P116(37.4)=10
P1(37.5)=0 P2(37.5)=16.4 P115(37.5)=19.2 P116(37.5)=10
P1(37.6)=0 P2(37.6)=16.5 P115(37.6)=19.2 P116(37.6)=10.1
P1(37.7)=0 P2(37.7)=17.7 P115(37.7)=19.5 P116(37.7)=9.7
P1(37.8)=0 P2(37.8)=18.7 P115(37.8)=19.5 P116(37.8)=9.2
P1(37.9)=0 P2(37.9)=18.7 P115(37.9)=19.7 P116(37.9)=9.3
P1(38)=0 P2(38)=18.7 P115(38)=19.7 P116(38)=10.3
P1(38.1)=0 P2(38.1)=18.7 P115(38.1)=20.7 P116(38.1)=10.6
P1(38.2)=0 P2(38.2)=18.8 P115(38.2)=0 P116(38.2)=10.2
P1(38.3)=0 P2(38.3)=18.3 P115(38.3)=0 P116(38.3)=10.2
P1(38.4)=0 P2(38.4)=18.4 P115(38.4)=0 P116(38.4)=10.3
P1(38.5)=0 P2(38.5)=18 P115(38.5)=0 P116(38.5)=10.5
P1(38.6)=0 P2(38.6)=17 P115(38.6)=0 P116(38.6)=11.5
P1(38.7)=0 P2(38.7)=16.6 P115(38.7)=0 P116(38.7)=11.5
P1(38.8)=0 P2(38.8)=16.6 P115(38.8)=0 P116(38.8)=10.5
P1(38.9)=0 P2(38.9)=17.7 P115(38.9)=0 P116(38.9)=10.6
P1(39)=0 P2(39)=18.7 P115(39)=0 P116(39)=10.6
P1(39.1)=0 P2(39.1)=19.8 P115(39.1)=0 P116(39.1)=10.7
P1(39.2)=0 P2(39.2)=19.8 P115(39.2)=0 P116(39.2)=11
P1(39.3)=0 P2(39.3)=21 P115(39.3)=0 P116(39.3)=11.1
P1(39.4)=0 P2(39.4)=0 P115(39.4)=0 P116(39.4)=11.1
P1(39.5)=0 P2(39.5)=0 P115(39.5)=0 P116(39.5)=11.2
P1(39.6)=0 P2(39.6)=0 P115(39.6)=0 P116(39.6)=10.9
P1(39.7)=0 P2(39.7)=0 P115(39.7)=0 P116(39.7)=10.9
P1(39.8)=0 P2(39.8)=0 P115(39.8)=0 P116(39.8)=11
P1(39.9)=0 P2(39.9)=0 P115(39.9)=0 P116(39.9)=11
P1(40)=0 P2(40)=0 P115(40)=0 P116(40)=11.1
P1(40.1)=0 P2(40.1)=0 P115(40.1)=0 P116(40.1)=11.2
P1(40.2)=0 P2(40.2)=0 P115(40.2)=0 P116(40.2)=10.7
P1(40.3)=0 P2(40.3)=0 P115(40.3)=0 P116(40.3)=11.8
P1(40.4)=0 P2(40.4)=0 P115(40.4)=0 P116(40.4)=11.9
P1(40.5)=0 P2(40.5)=0 P115(40.5)=0 P116(40.5)=12
P1(40.6)=0 P2(40.6)=0 P115(40.6)=0 P116(40.6)=11.7
P1(40.7)=0 P2(40.7)=0 P115(40.7)=0 P116(40.7)=11.7
P1(40.8)=0 P2(40.8)=0 P115(40.8)=0 P116(40.8)=11.8
P1(40.9)=0 P2(40.9)=0 P115(40.9)=0 P116(40.9)=12.8
P1(41)=0 P2(41)=0 P115(41)=0 P116(41)=12.8
P1(41.1)=0 P2(41.1)=0 P115(41.1)=0 P116(41.1)=12.9
P1(41.2)=0 P2(41.2)=0 P115(41.2)=0 P116(41.2)=12.4
P1(41.3)=0 P2(41.3)=0 P115(41.3)=0 P116(41.3)=12.8
P1(41.4)=0 P2(41.4)=0 P115(41.4)=0 P116(41.4)=12.8
P1(41.5)=0 P2(41.5)=0 P115(41.5)=0 P116(41.5)=12.4
P1(41.6)=0 P2(41.6)=0 P115(41.6)=0 P116(41.6)=12.7
P1(41.7)=0 P2(41.7)=0 P115(41.7)=0 P116(41.7)=12.8
P1(41.8)=0 P2(41.8)=0 P115(41.8)=0 P116(41.8)=13
P1(41.9)=0 P2(41.9)=0 P115(41.9)=0 P116(41.9)=12.6
P1(42)=0 P2(42)=0 P115(42)=0 P116(42)=12.6
P1(42.1)=0 P2(42.1)=0 P115(42.1)=0 P116(42.1)=12.7
P1(42.2)=0 P2(42.2)=0 P115(42.2)=0 P116(42.2)=12.8
P1(42.3)=0 P2(42.3)=0 P115(42.3)=0 P116(42.3)=12.9
P1(42.4)=0 P2(42.4)=0 P115(42.4)=0 P116(42.4)=12.9
P1(42.5)=0 P2(42.5)=0 P115(42.5)=0 P116(42.5)=12.9
P1(42.6)=0 P2(42.6)=0 P115(42.6)=0 P116(42.6)=12.9
P1(42.7)=0 P2(42.7)=0 P115(42.7)=0 P116(42.7)=13.1
P1(42.8)=0 P2(42.8)=0 P115(42.8)=0 P116(42.8)=13.1
P1(42.9)=0 P2(42.9)=0 P115(42.9)=0 P116(42.9)=12.7
P1(43)=0 P2(43)=0 P115(43)=0 P116(43)=12.8
P1(43.1)=0 P2(43.1)=0 P115(43.1)=0 P116(43.1)=13.8
P1(43.2)=0 P2(43.2)=0 P115(43.2)=0 P116(43.2)=14.8
P1(43.3)=0 P2(43.3)=0 P115(43.3)=0 P116(43.3)=16.9
P1(43.4)=0 P2(43.4)=0 P115(43.4)=0 P116(43.4)=17.1
P1(43.5)=0 P2(43.5)=0 P115(43.5)=0 P116(43.5)=17.1
P1(43.6)=0 P2(43.6)=0 P115(43.6)=0 P116(43.6)=17.2
P1(43.7)=0 P2(43.7)=0 P115(43.7)=0 P116(43.7)=17.3
P1(43.8)=0 P2(43.8)=0 P115(43.8)=0 P116(43.8)=16.9
P1(43.9)=0 P2(43.9)=0 P115(43.9)=0 P116(43.9)=17.1
P1(44)=0 P2(44)=0 P115(44)=0 P116(44)=17.4
P1(44.1)=0 P2(44.1)=0 P115(44.1)=0 P116(44.1)=17
P1(44.2)=0 P2(44.2)=0 P115(44.2)=0 P116(44.2)=16.6
P1(44.3)=0 P2(44.3)=0 P115(44.3)=0 P116(44.3)=17.7
P1(44.4)=0 P2(44.4)=0 P115(44.4)=0 P116(44.4)=17.7
P1(44.5)=0 P2(44.5)=0 P115(44.5)=0 P116(44.5)=18.8
P1(44.6)=0 P2(44.6)=0 P115(44.6)=0 P116(44.6)=18.9
P1(44.7)=0 P2(44.7)=0 P115(44.7)=0 P116(44.7)=18.9
P1(44.8)=0 P2(44.8)=0 P115(44.8)=0 P116(44.8)=18.9
P1(44.9)=0 P2(44.9)=0 P115(44.9)=0 P116(44.9)=19.9
P1(45)=0 P2(45)=0 P115(45)=0 P116(45)=19.9
P1(45.1)=0 P2(45.1)=0 P115(45.1)=0 P116(45.1)=19.7
P1(45.2)=0 P2(45.2)=0 P115(45.2)=0 P116(45.2)=19.8
P1(45.3)=0 P2(45.3)=0 P115(45.3)=0 P116(45.3)=19.8
P1(45.4)=0 P2(45.4)=0 P115(45.4)=0 P116(45.4)=20
P1(45.5)=0 P2(45.5)=0 P115(45.5)=0 P116(45.5)=19.8
P1(45.6)=0 P2(45.6)=0 P115(45.6)=0 P116(45.6)=20.8
P1(45.7)=0 P2(45.7)=0 P115(45.7)=0 P116(45.7)=0
P1(45.8)=0 P2(45.8)=0 P115(45.8)=0 P116(45.8)=0
P1(45.9)=0 P2(45.9)=0 P115(45.9)=0 P116(45.9)=0
P1(46)=0 P2(46)=0 P115(46)=0 P116(46)=0
P1(46.1)=0 P2(46.1)=0 P115(46.1)=0 P116(46.1)=0
P1(46.2)=0 P2(46.2)=0 P115(46.2)=0 P116(46.2)=0
P1(46.3)=0 P2(46.3)=0 P115(46.3)=0 P116(46.3)=0
P1(46.4)=0 P2(46.4)=0 P115(46.4)=0 P116(46.4)=0
P1(46.5)=0 P2(46.5)=0 P115(46.5)=0 P116(46.5)=0
P1(46.6)=0 P2(46.6)=0 P115(46.6)=0 P116(46.6)=0
P1(46.7)=0 P2(46.7)=0 P115(46.7)=0 P116(46.7)=0
P1(46.8)=0 P2(46.8)=0 P115(46.8)=0 P116(46.8)=0
P1(46.9)=0 P2(46.9)=0 P115(46.9)=0 P116(46.9)=0
P1(47)=0 P2(47)=0 P115(47)=0 P116(47)=0
P1(47.1)=0 P2(47.1)=0 P115(47.1)=0 P116(47.1)=0
P1(47.2)=0 P2(47.2)=0 P115(47.2)=0 P116(47.2)=0
P1(47.3)=0 P2(47.3)=0 P115(47.3)=0 P116(47.3)=0
P1(47.4)=0 P2(47.4)=0 P115(47.4)=0 P116(47.4)=0
P1(47.5)=0 P2(47.5)=0 P115(47.5)=0 P116(47.5)=0
P1(47.6)=0 P2(47.6)=0 P115(47.6)=0 P116(47.6)=0
P1(47.7)=0 P2(47.7)=0 P115(47.7)=0 P116(47.7)=0
P1(47.8)=0 P2(47.8)=0 P115(47.8)=0 P116(47.8)=0
P1(47.9)=0 P2(47.9)=0 P115(47.9)=0 P116(47.9)=0
P1(48)=0 P2(48)=0 P115(48)=0 P116(48)=0
P1(48.1)=0 P2(48.1)=0 P115(48.1)=0 P116(48.1)=0
P1(48.2)=0 P2(48.2)=0 P115(48.2)=0 P116(48.2)=0
P1(48.3)=0 P2(48.3)=0 P115(48.3)=0 P116(48.3)=0
P1(48.4)=0 P2(48.4)=0 P115(48.4)=0 P116(48.4)=0
P1(48.5)=0 P2(48.5)=0 P115(48.5)=0 P116(48.5)=0
P1(48.6)=0 P2(48.6)=0 P115(48.6)=0 P116(48.6)=0
P1(48.7)=0 P2(48.7)=0 P115(48.7)=0 P116(48.7)=0
P1(48.8)=0 P2(48.8)=0 P115(48.8)=0 P116(48.8)=0
P1(48.9)=0 P2(48.9)=0 P115(48.9)=0 P116(48.9)=0
P1(49)=0 P2(49)=0 P115(49)=0 P116(49)=0
P1(49.1)=0 P2(49.1)=0 P115(49.1)=0 P116(49.1)=0
P1(49.2)=0 P2(49.2)=0 P115(49.2)=0 P116(49.2)=0
P1(49.3)=0 P2(49.3)=0 P115(49.3)=0 P116(49.3)=0
P1(49.4)=0 P2(49.4)=0 P115(49.4)=0 P116(49.4)=0
P1(49.5)=0 P2(49.5)=0 P115(49.5)=0 P116(49.5)=0
P1(49.6)=0 P2(49.6)=0 P115(49.6)=0 P116(49.6)=0
P1(49.7)=0 P2(49.7)=0 P115(49.7)=0 P116(49.7)=0
P1(49.8)=0 P2(49.8)=0 P115(49.8)=0 P116(49.8)=0
P1(49.9)=0 P2(49.9)=0 P115(49.9)=0 P116(49.9)=0
P1(50)=0 P2(50)=0 P115(50)=0 P116(50)=0
P1(50.1)=0 P2(50.1)=0 P115(50.1)=0 P116(50.1)=0
P1(50.2)=0 P2(50.2)=0 P115(50.2)=0 P116(50.2)=0
P1(50.3)=0 P2(50.3)=0 P115(50.3)=0 P116(50.3)=0
P1(50.4)=0 P2(50.4)=0 P115(50.4)=0 P116(50.4)=0
P1(50.5)=0 P2(50.5)=0 P115(50.5)=0 P116(50.5)=0
P1(50.6)=0 P2(50.6)=0 P115(50.6)=0 P116(50.6)=0
P1(50.7)=0 P2(50.7)=0 P115(50.7)=0 P116(50.7)=0
P1(50.8)=0 P2(50.8)=0 P115(50.8)=0 P116(50.8)=0
P1(50.9)=0 P2(50.9)=0 P115(50.9)=0 P116(50.9)=0
P1(51)=0 P2(51)=0 P115(51)=0 P116(51)=0
P1(51.1)=0 P2(51.1)=0 P115(51.1)=0 P116(51.1)=0
P1(51.2)=0 P2(51.2)=0 P115(51.2)=0 P116(51.2)=0
P1(51.3)=0 P2(51.3)=0 P115(51.3)=0 P116(51.3)=0
P1(51.4)=0 P2(51.4)=0 P115(51.4)=0 P116(51.4)=0
P1(51.5)=0 P2(51.5)=0 P115(51.5)=0 P116(51.5)=0
P1(51.6)=0 P2(51.6)=0 P115(51.6)=0 P116(51.6)=0
P1(51.7)=0 P2(51.7)=0 P115(51.7)=0 P116(51.7)=0
P1(51.8)=0 P2(51.8)=0 P115(51.8)=0 P116(51.8)=0
P1(51.9)=0 P2(51.9)=0 P115(51.9)=0 P116(51.9)=0
P1(52)=0 P2(52)=0 P115(52)=0 P116(52)=0
P1(52.1)=0 P2(52.1)=0 P115(52.1)=0 P116(52.1)=0
P1(52.2)=0 P2(52.2)=0 P115(52.2)=0 P116(52.2)=0
P1(52.3)=0 P2(52.3)=0 P115(52.3)=0 P116(52.3)=0
P1(52.4)=0 P2(52.4)=0 P115(52.4)=0 P116(52.4)=0
P1(52.5)=0 P2(52.5)=0 P115(52.5)=0 P116(52.5)=0
P1(52.6)=0 P2(52.6)=0 P115(52.6)=0 P116(52.6)=0
P1(52.7)=0 P2(52.7)=0 P115(52.7)=0 P116(52.7)=0
P1(52.8)=0 P2(52.8)=0 P115(52.8)=0 P116(52.8)=0
P1(52.9)=0 P2(52.9)=0 P115(52.9)=0 P116(52.9)=0
P1(53)=0 P2(53)=0 P115(53)=0 P116(53)=0
P1(53.1)=0 P2(53.1)=0 P115(53.1)=0 P116(53.1)=0
P1(53.2)=0 P2(53.2)=0 P115(53.2)=0 P116(53.2)=0
P1(53.3)=0 P2(53.3)=0 P115(53.3)=0 P116(53.3)=0
P1(53.4)=0 P2(53.4)=0 P115(53.4)=0 P116(53.4)=0
P1(53.5)=0 P2(53.5)=0 P115(53.5)=0 P116(53.5)=0
P1(53.6)=0 P2(53.6)=0 P115(53.6)=0 P116(53.6)=0
P1(53.7)=0 P2(53.7)=0 P115(53.7)=0 P116(53.7)=0
P1(53.8)=0 P2(53.8)=0 P115(53.8)=0 P116(53.8)=0
P1(53.9)=0 P2(53.9)=0 P115(53.9)=0 P116(53.9)=0
P1(54)=0 P2(54)=0 P115(54)=0 P116(54)=0
P1(54.1)=0 P2(54.1)=0 P115(54.1)=0 P116(54.1)=0
P1(54.2)=0 P2(54.2)=0 P115(54.2)=0 P116(54.2)=0
P1(54.3)=0 P2(54.3)=0 P115(54.3)=0 P116(54.3)=0
P1(54.4)=0 P2(54.4)=0 P115(54.4)=0 P116(54.4)=0
P1(54.5)=0 P2(54.5)=0 P115(54.5)=0 P116(54.5)=0
P1(54.6)=0 P2(54.6)=0 P115(54.6)=0 P116(54.6)=0
P1(54.7)=0 P2(54.7)=0 P115(54.7)=0 P116(54.7)=0
P1(54.8)=0 P2(54.8)=0 P115(54.8)=0 P116(54.8)=0
P1(54.9)=0 P2(54.9)=0 P115(54.9)=0 P116(54.9)=0
P1(55)=0 P2(55)=0 P115(55)=0 P116(55)=0
P1(55.1)=0 P2(55.1)=0 P115(55.1)=0 P116(55.1)=0
P1(55.2)=0 P2(55.2)=0 P115(55.2)=0 P116(55.2)=0
P1(55.3)=0 P2(55.3)=0 P115(55.3)=0 P116(55.3)=0
P1(55.4)=0 P2(55.4)=0 P115(55.4)=0 P116(55.4)=0
P1(55.5)=0 P2(55.5)=0 P115(55.5)=0 P116(55.5)=0
P1(55.6)=0 P2(55.6)=0 P115(55.6)=0 P116(55.6)=0
P1(55.7)=0 P2(55.7)=0 P115(55.7)=0 P116(55.7)=0
P1(55.8)=0 P2(55.8)=0 P115(55.8)=0 P116(55.8)=0
P1(55.9)=0 P2(55.9)=0 P115(55.9)=0 P116(55.9)=0
P1(56)=0 P2(56)=0 P115(56)=0 P116(56)=0
P1(56.1)=0 P2(56.1)=0 P115(56.1)=0 P116(56.1)=0
P1(56.2)=0 P2(56.2)=0 P115(56.2)=0 P116(56.2)=0
P1(56.3)=0 P2(56.3)=0 P115(56.3)=0 P116(56.3)=0
P1(56.4)=0 P2(56.4)=0 P115(56.4)=0 P116(56.4)=0
P1(56.5)=0 P2(56.5)=0 P115(56.5)=0 P116(56.5)=0
P1(56.6)=0 P2(56.6)=0 P115(56.6)=0 P116(56.6)=0
P1(56.7)=0 P2(56.7)=0 P115(56.7)=0 P116(56.7)=0
P1(56.8)=0 P2(56.8)=0 P115(56.8)=0 P116(56.8)=0
P1(56.9)=0 P2(56.9)=0 P115(56.9)=0 P116(56.9)=0
P1(57)=0 P2(57)=0 P115(57)=0 P116(57)=0
P1(57.1)=0 P2(57.1)=0 P115(57.1)=0 P116(57.1)=0
P1(57.2)=0 P2(57.2)=0 P115(57.2)=0 P116(57.2)=0
P1(57.3)=0 P2(57.3)=0 P115(57.3)=0 P116(57.3)=0
P1(57.4)=0 P2(57.4)=0 P115(57.4)=0 P116(57.4)=0
P1(57.5)=0 P2(57.5)=0 P115(57.5)=0 P116(57.5)=0
P1(57.6)=0 P2(57.6)=0 P115(57.6)=0 P116(57.6)=0
P1(57.7)=0 P2(57.7)=0 P115(57.7)=0 P116(57.7)=0
P1(57.8)=0 P2(57.8)=0 P115(57.8)=0 P116(57.8)=0
P1(57.9)=0 P2(57.9)=0 P115(57.9)=0 P116(57.9)=0
P1(58)=0 P2(58)=0 P115(58)=0 P116(58)=0
P1(58.1)=0 P2(58.1)=0 P115(58.1)=0 P116(58.1)=0
P1(58.2)=2 P2(58.2)=0 P115(58.2)=0 P116(58.2)=0
P1(58.3)=2 P2(58.3)=0 P115(58.3)=0 P116(58.3)=0
P1(58.4)=2 P2(58.4)=0 P115(58.4)=0 P116(58.4)=0
P1(58.5)=3 P2(58.5)=0 P115(58.5)=0 P116(58.5)=0
P1(58.6)=3 P2(58.6)=0 P115(58.6)=0 P116(58.6)=0
P1(58.7)=3 P2(58.7)=0 P115(58.7)=0 P116(58.7)=0
P1(58.8)=4 P2(58.8)=0 P115(58.8)=0 P116(58.8)=0
P1(58.9)=5 P2(58.9)=0 P115(58.9)=0 P116(58.9)=0
P1(59)=6 P2(59)=0 P115(59)=0 P116(59)=0
P1(59.1)=7 P2(59.1)=0 P115(59.1)=0 P116(59.1)=0
P1(59.2)=7 P2(59.2)=0 P115(59.2)=0 P116(59.2)=0
P1(59.3)=7 P2(59.3)=0 P115(59.3)=0 P116(59.3)=0
P1(59.4)=7 P2(59.4)=0 P115(59.4)=0 P116(59.4)=0
P1(59.5)=7 P2(59.5)=1 P115(59.5)=0 P116(59.5)=0
P1(59.6)=7 P2(59.6)=2 P115(59.6)=0 P116(59.6)=0
P1(59.7)=7 P2(59.7)=2 P115(59.7)=0 P116(59.7)=0
P1(59.8)=7 P2(59.8)=2 P115(59.8)=0 P116(59.8)=0
P1(59.9)=7 P2(59.9)=2 P115(59.9)=0 P116(59.9)=0
P1(60)=7 P2(60)=3 P115(60)=0 P116(60)=0
P1(60.1)=7 P2(60.1)=4 P115(60.1)=0 P116(60.1)=0
P1(60.2)=7 P2(60.2)=4 P115(60.2)=0 P116(60.2)=0
P1(60.3)=7 P2(60.3)=4 P115(60.3)=0 P116(60.3)=0
P1(60.4)=8 P2(60.4)=5 P115(60.4)=2 P116(60.4)=0
P1(60.5)=8 P2(60.5)=5 P115(60.5)=2 P116(60.5)=0
P1(60.6)=8 P2(60.6)=6 P115(60.6)=2 P116(60.6)=0
P1(60.7)=8 P2(60.7)=6 P115(60.7)=2 P116(60.7)=0
P1(60.8)=8 P2(60.8)=6 P115(60.8)=2 P116(60.8)=0
P1(60.9)=8.1 P2(60.9)=6 P115(60.9)=2 P116(60.9)=0
P1(61)=9.1 P2(61)=6 P115(61)=3 P116(61)=0
P1(61.1)=10.1 P2(61.1)=6 P115(61.1)=3 P116(61.1)=0
P1(61.2)=10.1 P2(61.2)=7 P115(61.2)=3 P116(61.2)=0
P1(61.3)=11.1 P2(61.3)=7 P115(61.3)=3 P116(61.3)=0
P1(61.4)=11.1 P2(61.4)=7 P115(61.4)=4 P116(61.4)=0
P1(61.5)=11.1 P2(61.5)=7 P115(61.5)=5 P116(61.5)=0
P1(61.6)=12.1 P2(61.6)=7 P115(61.6)=5 P116(61.6)=0
P1(61.7)=12.1 P2(61.7)=7 P115(61.7)=6 P116(61.7)=0
P1(61.8)=12.1 P2(61.8)=7 P115(61.8)=6 P116(61.8)=0
P1(61.9)=12.1 P2(61.9)=8 P115(61.9)=7 P116(61.9)=0
P1(62)=12.1 P2(62)=8 P115(62)=7 P116(62)=0
P1(62.1)=12.1 P2(62.1)=8 P115(62.1)=7 P116(62.1)=0
P1(62.2)=12.1 P2(62.2)=8 P115(62.2)=7 P116(62.2)=0
P1(62.3)=12.1 P2(62.3)=8 P115(62.3)=8 P116(62.3)=0
P1(62.4)=12.1 P2(62.4)=8 P115(62.4)=8 P116(62.4)=0
P1(62.5)=12.1 P2(62.5)=8 P115(62.5)=10 P116(62.5)=0
P1(62.6)=12.1 P2(62.6)=9 P115(62.6)=10 P116(62.6)=0
P1(62.7)=12.1 P2(62.7)=9 P115(62.7)=11 P116(62.7)=0
P1(62.8)=12.1 P2(62.8)=9 P115(62.8)=11 P116(62.8)=0
P1(62.9)=13.1 P2(62.9)=9 P115(62.9)=11.1 P116(62.9)=0
P1(63)=13.1 P2(63)=9 P115(63)=11.1 P116(63)=0
P1(63.1)=13.1 P2(63.1)=9 P115(63.1)=11.1 P116(63.1)=0
P1(63.2)=13.1 P2(63.2)=10 P115(63.2)=11.1 P116(63.2)=0
P1(63.3)=13.1 P2(63.3)=10 P115(63.3)=11.1 P116(63.3)=0
P1(63.4)=13.1 P2(63.4)=11 P115(63.4)=11.1 P116(63.4)=0
P1(63.5)=13.1 P2(63.5)=11 P115(63.5)=12.1 P116(63.5)=0
P1(63.6)=13.1 P2(63.6)=11 P115(63.6)=12.1 P116(63.6)=0
P1(63.7)=13.1 P2(63.7)=11 P115(63.7)=12.1 P116(63.7)=0
P1(63.8)=14.2 P2(63.8)=11 P115(63.8)=12.2 P116(63.8)=0
P1(63.9)=14.2 P2(63.9)=12 P115(63.9)=12.2 P116(63.9)=0
P1(64)=15.2 P2(64)=12 P115(64)=12.2 P116(64)=0
P1(64.1)=16.2 P2(64.1)=12 P115(64.1)=13.2 P116(64.1)=0
P1(64.2)=16.2 P2(64.2)=12 P115(64.2)=13.2 P116(64.2)=0
P1(64.3)=16.2 P2(64.3)=12 P115(64.3)=13.2 P116(64.3)=0
P1(64.4)=16.3 P2(64.4)=12 P115(64.4)=13.2 P116(64.4)=0
P1(64.5)=16.3 P2(64.5)=12 P115(64.5)=14.2 P116(64.5)=0
P1(64.6)=16.3 P2(64.6)=12 P115(64.6)=14.2 P116(64.6)=0
P1(64.7)=16.3 P2(64.7)=12 P115(64.7)=14.2 P116(64.7)=0
P1(64.8)=16.3 P2(64.8)=12 P115(64.8)=15.2 P116(64.8)=0
P1(64.9)=16.3 P2(64.9)=12 P115(64.9)=16.2 P116(64.9)=0
P1(65)=16.3 P2(65)=12 P115(65)=16.2 P116(65)=0
P1(65.1)=16.3 P2(65.1)=12 P115(65.1)=16.2 P116(65.1)=0
P1(65.2)=17.3 P2(65.2)=12 P115(65.2)=16.2 P116(65.2)=0
P1(65.3)=17.3 P2(65.3)=12 P115(65.3)=16.2 P116(65.3)=0
P1(65.4)=17.3 P2(65.4)=12.1 P115(65.4)=16.2 P116(65.4)=0
P1(65.5)=17.3 P2(65.5)=12.2 P115(65.5)=17.2 P116(65.5)=0
P1(65.6)=17.3 P2(65.6)=12.2 P115(65.6)=17.2 P116(65.6)=0
P1(65.7)=17.3 P2(65.7)=12.2 P115(65.7)=17.4 P116(65.7)=0
P1(65.8)=17.4 P2(65.8)=12.4 P115(65.8)=17.4 P116(65.8)=0
P1(65.9)=17.4 P2(65.9)=12.4 P115(65.9)=18.4 P116(65.9)=0
P1(66)=17.4 P2(66)=12.4 P115(66)=19.5 P116(66)=0
P1(66.1)=18.4 P2(66.1)=13.5 P115(66.1)=20.5 P116(66.1)=0.1
P1(66.2)=18.4 P2(66.2)=13.5 P115(66.2)=0 P116(66.2)=0.2
P1(66.3)=18.4 P2(66.3)=13.5 P115(66.3)=0 P116(66.3)=0.3
P1(66.4)=18.4 P2(66.4)=13.5 P115(66.4)=0 P116(66.4)=0
P1(66.5)=18.4 P2(66.5)=13.6 P115(66.5)=0 P116(66.5)=0
P1(66.6)=18.6 P2(66.6)=13.7 P115(66.6)=0 P116(66.6)=0.5
P1(66.7)=18.6 P2(66.7)=13.7 P115(66.7)=0 P116(66.7)=2.6
P1(66.8)=17.7 P2(66.8)=14.2 P115(66.8)=0 P116(66.8)=2.6
P1(66.9)=17.7 P2(66.9)=13.7 P115(66.9)=0 P116(66.9)=2.7
P1(67)=18 P2(67)=13.7 P115(67)=0 P116(67)=2.7
P1(67.1)=19 P2(67.1)=13.7 P115(67.1)=0 P116(67.1)=2.7
P1(67.2)=18.5 P2(67.2)=14.7 P115(67.2)=0 P116(67.2)=2.7
P1(67.3)=18.5 P2(67.3)=15.7 P115(67.3)=0 P116(67.3)=2.7
P1(67.4)=18.5 P2(67.4)=15.3 P115(67.4)=0 P116(67.4)=2.7
P1(67.5)=18.6 P2(67.5)=16.3 P115(67.5)=0 P116(67.5)=3
P1(67.6)=19.7 P2(67.6)=16.4 P115(67.6)=0 P116(67.6)=3
P1(67.7)=19.2 P2(67.7)=16.4 P115(67.7)=0 P116(67.7)=3.1
P1(67.8)=19.4 P2(67.8)=17.5 P115(67.8)=0 P116(67.8)=2.6
P1(67.9)=19.4 P2(67.9)=17.5 P115(67.9)=0 P116(67.9)=2.6
P1(68)=19.4 P2(68)=18 P115(68)=0 P116(68)=2.4
P1(68.1)=19.9 P2(68.1)=19.1 P115(68.1)=0 P116(68.1)=2.4
P1(68.2)=20.1 P2(68.2)=19.2 P115(68.2)=0 P116(68.2)=2.5
P1(68.3)=0 P2(68.3)=19.2 P115(68.3)=0 P116(68.3)=2.5
P1(68.4)=0 P2(68.4)=19.2 P115(68.4)=0 P116(68.4)=2.5
P1(68.5)=0 P2(68.5)=19.4 P115(68.5)=0 P116(68.5)=2.7
