Membrane potentials for each step (in ms) [0,10000]
P1(23.9)=0 P2(23.9)=0 P115(23.9)=0 P116(23.9)=0
P1(24)=0 P2(24)=0 P115(24)=0 P116(24)=0
P1(24.1)=0 P2(24.1)=0 P115(24.1)=0 P116(24.1)=0
P1(24.2)=0 P2(24.2)=0 P115(24.2)=0 P116(24.2)=0
P1(24.3)=0 P2(24.3)=0 P115(24.3)=0 P116(24.3)=0
P1(24.4)=0 P2(24.4)=0 P115(24.4)=0 P116(24.4)=0
P1(24.5)=0 P2(24.5)=0 P115(24.5)=0 P116(24.5)=0
P1(24.6)=0 P2(24.6)=0 P115(24.6)=0 P116(24.6)=0
P1(24.7)=0 P2(24.7)=0 P115(24.7)=0 P116(24.7)=0
P1(24.8)=0 P2(24.8)=0 P115(24.8)=0 P116(24.8)=0
P1(24.9)=0 P2(24.9)=0 P115(24.9)=0 P116(24.9)=0
P1(25)=0 P2(25)=0 P115(25)=0 P116(25)=0
P1(25.1)=0 P2(25.1)=0 P115(25.1)=0 P116(25.1)=0
P1(25.2)=0 P2(25.2)=0 P115(25.2)=0 P116(25.2)=0
P1(25.3)=0 P2(25.3)=0 P115(25.3)=0 P116(25.3)=0
P1(25.4)=0 P2(25.4)=0 P115(25.4)=0 P116(25.4)=0
P1(25.5)=0 P2(25.5)=0 P115(25.5)=0 P116(25.5)=0
P1(25.6)=0 P2(25.6)=0 P115(25.6)=0 P116(25.6)=0
P1(25.7)=0 P2(25.7)=0 P115(25.7)=0 P116(25.7)=0
P1(25.8)=0 P2(25.8)=0 P115(25.8)=0 P116(25.8)=0
P1(25.9)=0 P2(25.9)=0 P115(25.9)=0 P116(25.9)=0
P1(26)=0 P2(26)=0 P115(26)=0 P116(26)=0
P1(26.1)=0 P2(26.1)=0 P115(26.1)=0 P116(26.1)=0
P1(26.2)=0 P2(26.2)=0 P115(26.2)=0 P116(26.2)=0
P1(26.3)=0 P2(26.3)=0 P115(26.3)=0 P116(26.3)=0
P1(26.4)=0 P2(26.4)=0 P115(26.4)=0 P116(26.4)=0
P1(26.5)=0 P2(26.5)=0 P115(26.5)=0 P116(26.5)=0
P1(26.6)=0 P2(26.6)=0 P115(26.6)=0 P116(26.6)=0
P1(26.7)=0 P2(26.7)=0 P115(26.7)=0 P116(26.7)=0
P1(26.8)=0 P2(26.8)=0 P115(26.8)=0 P116(26.8)=0
P1(26.9)=0 P2(26.9)=0 P115(26.9)=0 P116(26.9)=0
P1(27)=0 P2(27)=0 P115(27)=0 P116(27)=0
P1(27.1)=0 P2(27.1)=0 P115(27.1)=0 P116(27.1)=0
P1(27.2)=0 P2(27.2)=0 P115(27.2)=0 P116(27.2)=0
P1(27.3)=0 P2(27.3)=0 P115(27.3)=0 P116(27.3)=0
P1(27.4)=0 P2(27.4)=0 P115(27.4)=0 P116(27.4)=0
P1(27.5)=0 P2(27.5)=1 P115(27.5)=0 P116(27.5)=0
P1(27.6)=0 P2(27.6)=1 P115(27.6)=0 P116(27.6)=0
P1(27.7)=0 P2(27.7)=2 P115(27.7)=0 P116(27.7)=0
P1(27.8)=0 P2(27.8)=2 P115(27.8)=0 P116(27.8)=0
P1(27.9)=0 P2(27.9)=3 P115(27.9)=0 P116(27.9)=0
P1(28)=0 P2(28)=3 P115(28)=1 P116(28)=0
P1(28.1)=0 P2(28.1)=3 P115(28.1)=1 P116(28.1)=0
P1(28.2)=0 P2(28.2)=3 P115(28.2)=1 P116(28.2)=0
P1(28.3)=0 P2(28.3)=3 P115(28.3)=1 P116(28.3)=0
P1(28.4)=0 P2(28.4)=3 P115(28.4)=1 P116(28.4)=0
P1(28.5)=0 P2(28.5)=3 P115(28.5)=1 P116(28.5)=0
P1(28.6)=0 P2(28.6)=5 P115(28.6)=1 P116(28.6)=0
P1(28.7)=1 P2(28.7)=5 P115(28.7)=2 P116(28.7)=0
P1(28.8)=1 P2(28.8)=5 P115(28.8)=2 P116(28.8)=0
P1(28.9)=1 P2(28.9)=5 P115(28.9)=2 P116(28.9)=0
P1(29)=1 P2(29)=5 P115(29)=2 P116(29)=0
P1(29.1)=2 P2(29.1)=5 P115(29.1)=2 P116(29.1)=0
P1(29.2)=2 P2(29.2)=5 P115(29.2)=2 P116(29.2)=0
P1(29.3)=2 P2(29.3)=5 P115(29.3)=3 P116(29.3)=0
P1(29.4)=2 P2(29.4)=6 P115(29.4)=3 P116(29.4)=0
P1(29.5)=2 P2(29.5)=6 P115(29.5)=3 P116(29.5)=0
P1(29.6)=2 P2(29.6)=6 P115(29.6)=3 P116(29.6)=0
P1(29.7)=2 P2(29.7)=6 P115(29.7)=3 P116(29.7)=0
P1(29.8)=4 P2(29.8)=6 P115(29.8)=4 P116(29.8)=0
P1(29.9)=4 P2(29.9)=6 P115(29.9)=4 P116(29.9)=0
P1(30)=4 P2(30)=6 P115(30)=4 P116(30)=0
P1(30.1)=4 P2(30.1)=6 P115(30.1)=4 P116(30.1)=0
P1(30.2)=5 P2(30.2)=6 P115(30.2)=5 P116(30.2)=0
P1(30.3)=5 P2(30.3)=6 P115(30.3)=5 P116(30.3)=0
P1(30.4)=5 P2(30.4)=6 P115(30.4)=5 P116(30.4)=0
P1(30.5)=5 P2(30.5)=6 P115(30.5)=5 P116(30.5)=0
P1(30.6)=5 P2(30.6)=6 P115(30.6)=5 P116(30.6)=0
